"pais","continente","poblacion","porcentaje","cantidad"
"Alemania","Europa",83,6,4.98
"Chile","América",19,6,1.14
"Argentina","América",45,4,1.8
"Suecia","Europa",10,3,0.3
"España","Europa",46,6,2.76
"Hungría","Europa",9,3,0.27
"Australia","Oceanía",25,4,1
"Malasia","Asia",32,2,0.64
"Canada","América",37,4,1.48
"Francia","Europa",65,3,1.95
"Reino Unido","Europa",67,5,3.35
"Turquia","Asia",84,1,0.84
"Peru","América",32,4,1.28
"Bélgica","Europa",11,5,0.55
"Italia","Europa",60,3,1.8
"Corea del Sur","Asia",51,1,0.51
"Holanda","Europa",17,2,0.35
"Colombia","América",50,3,1.5
"Polonia","Europa",37,4,1.48
"Sudafrica","África",59,3,1.77
