"pais","continente","población","porcentaje","cantidad"
"Alemania","Europa",83,2,1.66
"Chile","América",19,3,0.57
"Argentina","América",45,2,0.9
"Suecia","Europa",10,2,0.2
"España","Europa",46,5,2.3
"Hungría","Europa",9,1,0.09
"Australia","Oceanía",25,5,1.25
"Malasia","Asia",32,2,0.64
"Canada","América",37,5,1.85
"Francia","Europa",65,2,1.3
"Reino Unido","Europa",67,4,2.68
"Turquia","Asia",84,2,1.68
"Peru""América",32,1,0.32
"Bélgica","Europa",11,3,0.33
"Italia","Europa",60,1,0.6
"Corea del Sur","Asia",51,1,0.51
"Holanda","Europa",17,5,0.85
"Colombia","América",50,3,1.5
"Polonia","Europa",37,1,0.37
"Sudafrica","África",59,2,1.18
