"pais","continente","población","porcentaje","cantidad"
"Alemania","Europa",83,1,0.83
"Chile","América",19,1,0.19
"Argentina","América",45,1,0.45
"Suecia","Europa",10,0,0
"España","Europa",46,0,0
"Mexico","América",128,1,1.28
"Brasil","América",212,1,2.12
"Hungría","Europa",9,0,0
"Australia","Oceanía",25,0,0
"Malasia","Asia",32,2,0.64
"Canada","América",37,0,0
"Francia","Europa",65,1,0.65
"Reino Unido","Europa",67,0,0
"India","Asia",1380,2,27.6
"Turquia","Asia",84,5,4.2
"Japón","Asia",126,3,3.78
"China","Asia",1439,0,0
"Peru","América",32,1,0.32
"Rusia","Europa",145,2,2.9
"USA","América",331,0,0
"Bélgica","Europa",11,1,0.11
"Italia","Europa",60,0,0
"Corea del Sur","Asia",51,0,0
"Holanda","Europa",17,2,0.34
"Colombia","Latinomérica",50,1,0.5
"Polonia","Europa",37,1,0.37
"Sudafrica","África",59,1,0.59
